Subjective Social Class Identity,Objective Social Class Positions
Poor,
Working Class,Working Class
Working Class,Working Class
Working Class,Working Class
Working Class,Working Class
Working Class,Working Class
Working Class,Working Class
Working Class,Working Class
Working Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Working Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Middle Class,Upper Middle Class
Upper Middle Class,Working Class
Upper Middle Class,Working Class
Upper Middle Class,Working Class
Upper Middle Class,Working Class
Upper Middle Class,Working Class
Upper Middle Class,Working Class
Upper Middle Class,Working Class
Upper Middle Class,Working Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Middle Class,Upper Middle Class
Upper Class,
