S#,Politician,Day,Date,Day Type,Time,City,Location,Location Category,Province,Latitude,Longititude,Target Category,Space (Open/Closed),Party,Target Status,Killed,Injured
1,Liaqat Ali Khan,Tuesday,16-Oct-51,Working Day,Evening,Rawalpindi,"Company Bagh (Company Gardens), Rawalpindi",Park/Ground,Punjab,33.6058,73.0437,Target,Open,Alll India Muslim League,Killed,1,1
2,Khan abdul Jabbar Khan,Friday,9-May-58,Working Day,Morning,Lahore," Sadullah Khan's house at 16 Aikman Road, GOR",Residence,Punjab,31.4826352,74.0712721,Target,Open,Chief Minister of West Pakistan,Killed,1,0
3,Hayyat Sherpao,Friday,8-Feb-85,Working Day,Evening,Peshawar,Campus of University of Peshawar,University,KPK,33.999533,71.42502,Target,Open,PPPP,Killed,1,0
4,Najeeb Ahmed,Friday,6-Apr-90,Working Day,After Noon,Karachi,North Nazimabad,Residence,Sindh,24.9918,66.9911,Target,Closed,Student wing of PPP,Killed,1,0
5,Azeem Ahmed Tariq,Saturday,1-May-93,Working Day,Morning,Karachi,near his house,Residence,Sindh,24.9918,66.9911,Target,Closed,MQM,Killed,1,0
6,Hakim Muhammad Said,Saturday,17-Oct-98,Working Day,After Noon,Karachi,Details Missing,Details Missing,Sindh,24.9918,66.9911,Target,Open,Independent,Killed,1,0
7,Maulana Azam Tariq,Monday,6-Oct-03,Working Day,Evening,Islamabad,"As his car drove into the capital, Islamabad",Road,Capital,33.718,73.0718,Target,Open,Millat-i-Islamia,Killed,4,0
8,Pervez Musharaf,Monday,15-Dec-03,Working Day,Evening,Rawalpindi,A powerful bomb went off minutes after his highly-guarded convoy crossed a bridge,Road,Punjab,33.6058,73.0437,Target,Open,All Pakistan Muslim League,Escaped,0,0
9,Pervez Musharaf,Thursday,25-Dec-03,Working Day,Evening,Rawalpindi,Attack on Musharaf's Rally,Road,Punjab,33.6058,73.0437,Suicide,Open,All Pakistan Muslim League,Escaped,16,4
10,Shaukat Aziz,Friday,30-Jul-04,Working Day,Night,Attock,Jaffar village in fateh jang,Park/Ground,Punjab,33.7645,72.3667,Suicide,Open,PMLQ,Escaped,7,70
11,Zil-e-Huma Usman,Tuesday,20-Feb-07,Working Day,After Noon,Gujranwala,she had gone to address a political rally,Park/Ground,Punjab,32.1579617,74.0245261,Target,Closed,Ministor,Killed,1,0
12,Aftab Ahmad Khan Sherpao,Saturday,28-Apr-07,Working Day,Evening,Charsadda,Rally Charsadda ,Park/Ground,KPK,34.1509,71.7359,Suicide,Open,ANP,Escaped,35,60
