date,site_name,site_status
5/16/2018,N0001,"A2,A3,A1,A4"
5/16/2018,N0002,"A5,A6,A7"
5/16/2018,N0003,on-air
5/16/2018,N0004,"A8,A6,A9 ,A10"
5/16/2018,N0005,"A11,on-air,A12,A13"
5/16/2018,N0006,"on-air,A14,A6,A114,A59"
5/16/2018,N0007,off-air
5/16/2018,N0008,"A11,A15,off-air,A16,A17"
5/16/2018,N0009,A18
5/16/2018,N0010,"on-air,A19"
5/16/2018,N0011,"A5,A11,A20,A21,A22"
5/16/2018,N0012,"A2,A5,on-air,A14,A23,A6,A24,A21,A25"
5/16/2018,N0013,A26
5/16/2018,N0014,"A27,off-air,A28"
5/16/2018,N0015,"A29,A5"
5/16/2018,N0016,"A14,A30,A31,A32"
5/16/2018,N0017,A31
5/16/2018,N0018,A33
5/16/2018,N0019,A22
5/16/2018,N0020,A34
5/16/2018,N0021,A11
5/16/2018,N0022,"A14,A35"
5/16/2018,N0023,on-air
5/16/2018,N0024,"A5,A9 ,A36,A37,A32"
5/16/2018,N0025,"A5,A38,A11,A39,off-air,A24,A40,A41,A42,A43,A44"
5/16/2018,N0026,"A21,A45"
5/16/2018,N0027,A6
5/16/2018,N0028,"A46,off-air,A28,A22"
5/16/2018,N0029,A11
5/16/2018,N0030,"A47,A28,A31,A45,A32,A48"
5/16/2018,N0031,"A6,A49,A21,A34"
5/16/2018,N0032,"A50,A11,off-air,A51,A21,A52,A54"
5/16/2018,N0033,"A38,A11,on-air,A49,A30"
5/16/2018,N0034,"A55,A56,A11,on-air,A57,A58,A28,A59"
5/16/2018,N0035,"A26,A60,A37"
5/16/2018,N0036,"A35,A28"
5/16/2018,N0037,A31
5/16/2018,N0038,A45
5/16/2018,N0039,"A38,A11,on-air,A62"
5/16/2018,N0040,"A2,A61,A32"
5/16/2018,N0041,"A46,off-air,A28,A45,A34,A48"
5/16/2018,N0042,"A5,A38,on-air,A6,A63,A47,A35,A30,A19,A7,A28,A42,A43"
5/16/2018,N0043,"A56,A6"
5/16/2018,N0044,A45
5/16/2018,N0045,"A14,A6,A9 ,A64,off-air,A21,A28,A32"
5/16/2018,N0046,A7
5/16/2018,N0047,"A35,A21"
5/16/2018,N0048,off-air
5/16/2018,N0049,A49
5/16/2018,N0050,"A38,A11,A14,A23,A57,A15,A65,off-air,A21,A13"
5/16/2018,N0051,"A46,off-air,A66,A32"
5/16/2018,N0052,A45
5/16/2018,N0053,"A67,A60,A11,on-air"
5/16/2018,N0054,"A68,A5,A11,A23,A63,A47,A3,A1,A69,A31"
5/16/2018,N0055,"on-air,A6,A36,A70,A28"
5/16/2018,N0056,"on-air,A23,A6,A35"
5/16/2018,N0057,"A33,A47,A45"
5/16/2018,N0058,"off-air,A71,A21,A72,A22,A52,A54"
5/16/2018,N0059,"A67,A26,A57,A73,off-air,A66"
5/16/2018,N0060,"off-air,A35,A30"
5/16/2018,N0061,"A11,on-air,A74,A75,A41,A76,A37"
5/16/2018,N0062,"A46,A35"
5/16/2018,N0063,"A46,A26,on-air"
5/16/2018,N0064,"A27,A5,off-air,A47,A30"
5/16/2018,N0065,"off-air,A35,A28"
5/16/2018,N0066,on-air
5/16/2018,N0067,"A23,A7"
5/16/2018,N0068,"A77,A32"
5/16/2018,N0069,"A46,on-air,A23"
5/16/2018,N0070,"A5,A8,A56,on-air,A78,off-air,A70,A22"
5/16/2018,N0071,A77
5/16/2018,N0072,"on-air,A14,A1,A79,A22,A80,A81"
5/16/2018,N0073,"A27,A2,on-air,A63,A71,A82,A22,A32"
5/16/2018,N0074,"on-air,A10,A28"
5/16/2018,N0075,A78
5/16/2018,N0076,"A11,on-air,off-air,A30"
5/16/2018,N0077,"A2,on-air,A23,A14,A35"
5/16/2018,N0078,"A24,A83,A21,A31,A16"
5/16/2018,N0079,"A30,A21,A28,A16"
5/16/2018,N0080,"A84,A7"
5/16/2018,N0081,A22
5/16/2018,N0082,"A38,on-air,A74,A63,off-air,A71,A1,A85,A31,A44"
5/16/2018,N0083,"A38,A86,A65,A74"
5/16/2018,N0084,"A94,A12,A74,A83,A71,A87,A80"
